image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,error
6949.pgm,ABM-enumerative,True,256,120,136,120,0.2515037169372252,33.39358675904037,True,True,,
7039.pgm,ABM-enumerative,True,256,384,-128,129,0.7265712856441799,33.079502116524125,True,True,,
7381.pgm,ABM-enumerative,True,256,264,-8,130,0.5453635807684387,33.04596569644825,True,True,,
7401.pgm,ABM-enumerative,True,256,136,120,122,0.09692696747487274,33.321800912769135,True,True,,
7569.pgm,ABM-enumerative,True,256,208,48,139,0.33906828853654253,32.755251216975665,True,True,,
7612.pgm,ABM-enumerative,True,256,120,136,123,0.07429648458964204,33.286348105122634,True,True,,
7770.pgm,ABM-enumerative,True,256,320,-64,129,0.5290901903210755,33.079502116524125,True,True,,
7975.pgm,ABM-enumerative,True,256,184,72,131,0.521437121245595,33.01268626295897,True,True,,
8077.pgm,ABM-enumerative,True,256,288,-32,140,0.531862450529836,32.72411886273424,True,True,,
8222.pgm,ABM-enumerative,True,256,120,136,129,0.05797848248156087,33.079502116524125,True,True,,
8331.pgm,ABM-enumerative,True,256,184,72,135,0.40901036270453056,32.88206153456655,True,True,,
8366.pgm,ABM-enumerative,True,256,176,80,116,0.23661995078466438,33.54081932724743,True,True,,
8401.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
8486.pgm,ABM-enumerative,True,256,144,112,126,0.07132583225424592,33.181693768340985,True,True,,
8696.pgm,ABM-enumerative,True,256,176,80,137,0.4513615567998434,32.818193547952546,True,True,,
8716.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
9065.pgm,ABM-enumerative,True,256,216,40,134,0.4732074760993511,32.91435123586854,True,True,,
9164.pgm,ABM-enumerative,True,256,160,96,134,0.3625415440447452,32.91435123586854,True,True,,
9182.pgm,ABM-enumerative,True,256,232,24,131,0.18317139727207543,33.01268626295897,True,True,,
9392.pgm,ABM-enumerative,True,256,184,72,132,0.4086299464078607,32.979659907458114,True,True,,
9503.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
9523.pgm,ABM-enumerative,True,256,152,104,123,0.17420661852782876,33.286348105122634,True,True,,
9776.pgm,ABM-enumerative,True,256,136,120,120,0.05882064663029581,33.39358675904037,True,True,,
9904.pgm,ABM-enumerative,True,256,120,136,141,0.1243734316244163,32.69320809296281,True,True,,
9909.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
9946.pgm,ABM-enumerative,True,256,384,-128,115,0.3033960725437202,33.5784208159805,True,True,,
