image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
1583.pgm,PPOCP-conservative,True,512,5432,-4920,278,0.3904585925528294,29.744951260335853,True,True,,0.15535200003068894,
1583.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.9540074999677017,capacity below target
1583.pgm,Dong-adaptive-conservative,True,512,336,176,286,0.746125579013327,29.621738888226187,True,True,l=3,24.44477979990188,
1586.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,1.0030211000703275,capacity below target
1586.pgm,PPOCP-conservative,True,512,264,248,240,101.7022506447965,30.383286802400555,True,True,,0.14632259996142238,
1586.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.9697632000315934,capacity below target
1586.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,37.6988828999456,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
1592.pgm,ABM-enumerative,True,512,192,320,243,0.31473153362262396,30.329336483533496,True,True,,2.212545400019735,
1592.pgm,PPOCP-conservative,True,512,4592,-4080,264,0.20311584411512404,29.969359950818305,True,True,,0.08103580004535615,
1592.pgm,Huynh-Nguyen-T5,True,512,1856,-1344,246,0.2531650252282739,30.276048148482822,True,True,,1.3842435999540612,
1592.pgm,Dong-adaptive-conservative,True,512,296,216,257,0.3273504291118134,30.08606798620367,True,True,l=3,11.418449900113046,
1658.pgm,ABM-enumerative,True,512,176,336,258,0.25221039161139003,30.069202159884313,True,True,,2.2567665999522433,
1658.pgm,PPOCP-conservative,True,512,4736,-4224,246,0.13856792697401263,30.276048148482822,True,True,,0.1025124000152573,
1658.pgm,Huynh-Nguyen-T5,True,512,1888,-1376,278,0.21581930620943413,29.744951260335853,True,True,,1.3972916000057012,
1658.pgm,Dong-adaptive-conservative,True,512,312,200,268,0.2595690710329772,29.904051279228728,True,True,l=7,13.18197459995281,
1669.pgm,ABM-enumerative,True,512,464,48,230,0.5350759056951422,30.568120859340688,True,True,,2.279441999970004,
1669.pgm,PPOCP-conservative,True,512,5152,-4640,252,0.37618343121290654,30.171393811701176,True,True,,0.07870870002079755,
1669.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.579892999958247,capacity below target
1669.pgm,Dong-adaptive-conservative,True,512,432,80,281,0.5965465435512473,29.698336020465813,True,True,l=2,50.70065420004539,
1717.pgm,ABM-enumerative,True,512,200,312,243,0.23070374709869368,30.329336483533496,True,True,,2.1907179999398068,
1717.pgm,PPOCP-conservative,True,512,4680,-4168,264,0.14906737733527242,29.969359950818305,True,True,,0.0839836000232026,
1717.pgm,Huynh-Nguyen-T5,True,512,1896,-1384,277,0.20678667981271448,29.76060152887213,True,True,,1.496436099987477,
1717.pgm,Dong-adaptive-conservative,True,512,360,152,290,0.24895094093803163,29.561419240527055,True,True,l=1,16.249318000045605,
1722.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,0.5798968999879435,capacity below target
1722.pgm,PPOCP-conservative,True,512,264,248,239,202.65745879805186,30.401420210035237,True,True,,0.07185150007717311,
1722.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.29694240004755557,capacity below target
1722.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,31.009822500054725,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
1899.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,0.9618606000440195,capacity below target
1899.pgm,PPOCP-conservative,True,512,264,248,237,5.906914756691785,30.437915759415578,True,True,,0.07294910005293787,
1899.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.5994223000016063,capacity below target
1899.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,31.292688900022767,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
2098.pgm,ABM-enumerative,True,512,136,376,252,0.10707932331494907,30.171393811701176,True,True,,2.202687199926004,
2098.pgm,PPOCP-conservative,True,512,5600,-5088,257,0.0458674545509033,30.08606798620367,True,True,,0.09891089994926006,
2098.pgm,Huynh-Nguyen-T5,True,512,1872,-1360,293,0.10140438652383384,29.516723015975522,True,True,,1.3406121999723837,
2098.pgm,Dong-adaptive-conservative,True,512,392,120,11022,4.619493517656115,13.762795152622097,True,True,l=8,22.63891830004286,
2105.pgm,ABM-enumerative,True,512,176,336,269,0.19493044995148281,29.887876419492535,True,True,,2.19406839995645,
2105.pgm,PPOCP-conservative,True,512,6016,-5504,254,0.10161318128543663,30.137062053317237,True,True,,0.09835880005266517,
2105.pgm,Huynh-Nguyen-T5,True,512,1136,-624,315,0.17919860476185914,29.20229368162061,True,True,,1.5137753000017256,
2105.pgm,Dong-adaptive-conservative,True,512,440,72,338,0.21379683836377528,28.89623221674007,True,True,l=2,12.018523899954744,
2179.pgm,ABM-enumerative,True,512,160,352,259,0.19485760228725146,30.0524015787041,True,True,,2.232200299971737,
2179.pgm,PPOCP-conservative,True,512,6416,-5904,252,0.10454991983728074,30.171393811701176,True,True,,0.09323110000696033,
2179.pgm,Huynh-Nguyen-T5,True,512,1872,-1360,288,0.20214578435645725,29.591474341924307,True,True,,1.6932688999222592,
